Local_Auth_Code,x,y,geo_area,EU_zone_agglom,Total_PM25,Motorway_in,Motorway_out,Trunk_A_Rd_in,Trunk_A_Rd_out,Primary_A_Rd_in,Primary_A_Rd_out,Minor_Rd.Cold_Start_in,Minor_Rd.Cold_Start_out,Brake.Tyre_in,Brake.Tyre_out,Road_Abrasion_in,Road_Abrasion_out,Industry_in,Industry_out,Domestic_in,Domestic_out,Rail_in,Rail_out,Other_in,Other_out,PM_secondary,Residual.Salt,Point_Sources,Sex,AgeGroup,Pathogen,RatePer100000
S12000036,313500,674500,1,37,4.627706,0,0.024131,0,0.00208,0,0.008581,0.001232,0.019741,0.004089,0.13163,0.001553,0.066453,0.006334,0.445229,0.013523,0.300953,0,0.004431,0.00183,0.142905,2.550784,0.828297,0.07393,Female,15-44 years,Influenza - Type A (not subtyped),0
S12000036,314500,674500,1,37,4.643964,0,0.018632,0,0.002309,0,0.009232,0.001236,0.017917,0.004119,0.116389,0.001875,0.057214,0.007434,0.396674,0.002862,0.280589,0,0.005426,0.105748,0.146001,2.550784,0.845742,0.073781,Female,15-44 years,Influenza - Type A or B,0.097922669
S12000036,315500,674500,1,37,4.585143,0,0.0151,0,0.002526,0,0.010048,0.002099,0.017934,0.004037,0.113046,0.001836,0.053236,0.007087,0.369705,0.025753,0.270117,0.005012,0.005616,0.108569,0.155734,2.549347,0.794015,0.074325,Female,15-44 years,Influenza - Type A(H1N1)pdm09,0
S12000036,316500,674500,1,37,4.561772,0,0.012607,0,0.002782,0,0.011247,7.44E-04,0.019522,0.002311,0.116638,0.001051,0.052231,0.006237,0.363654,0.017103,0.279087,0.002786,0.007637,0.001283,0.162817,2.549347,0.881817,0.070873,Female,15-44 years,Influenza - Type A(H3),0.097922669
S12000036,317500,674500,1,37,4.604678,0,0.010718,0,0.003606,0,0.014725,0.002599,0.023908,0.007626,0.137468,0.002523,0.057428,0.008967,0.398588,0.015462,0.314411,0,0.007446,0.002883,0.129574,2.549347,0.847814,0.069584,Female,15-44 years,Influenza - Type B,0
S12000036,318500,674500,1,25,5.087634,0,0.008962,0,0.004502,0.02389,0.015319,0.016235,0.029632,0.13095,0.153654,0.043151,0.060763,0.093539,0.444715,0.191752,0.369697,0,0.006866,0.013871,0.125727,2.549347,0.736264,0.068795,Female,15-44 years,Mycoplasma pneumoniae,0.783381348
S12000036,319500,674500,1,25,5.152973,0,0.007554,0,0.004628,0.012138,0.017811,0.02064,0.034946,0.102731,0.174568,0.033471,0.065948,0.119552,0.480919,0.239788,0.423308,0,0.006693,0.017873,0.125516,2.549347,0.646475,0.069067,Female,15-44 years,Parainfluenza virus,0.195845337
S12000036,320500,674500,1,25,4.754188,0,0.006909,0,0.004413,0,0.01725,0.009466,0.035596,0.023801,0.171332,0.0077,0.064132,0.051217,0.482882,0.090089,0.42923,0,0.006505,0.00659,0.121183,2.540282,0.617063,0.068547,Female,15-44 years,Respiratory syncytial virus,0.783381348
S12000036,321500,674500,1,25,4.895119,0,0.005876,0,0.004466,0.015431,0.016219,0.012004,0.036023,0.080949,0.162837,0.026686,0.060378,0.075814,0.463352,0.132847,0.41591,0,0.006948,0.012316,0.125545,2.540282,0.632588,0.068649,Female,15-44 years,Rhinovirus,1.860530702
S12000036,322500,674500,1,25,5.082278,0,0.005061,0,0.004528,0.015191,0.018602,0.018607,0.0397,0.094683,0.170968,0.031121,0.062387,0.090819,0.501226,0.162246,0.432237,0,0.007815,0.015446,0.142481,2.540282,0.64458,0.084297,Female,15-44 years,Seasonal coronavirus (Non-SARS-CoV-2),0.293768006
